gel,lane,vial,condition
160222_MG004_Stability_Gel_01.jpg,L01,L,L
160222_MG004_Stability_Gel_01.jpg,L02,F4,8w37c
160222_MG004_Stability_Gel_01.jpg,L03,A3,2w4c
160222_MG004_Stability_Gel_01.jpg,L04,G9,control
160222_MG004_Stability_Gel_01.jpg,L05,D7,8w4c
160222_MG004_Stability_Gel_01.jpg,L06,A9,8w37c
160222_MG004_Stability_Gel_01.jpg,L07,A4,control
160222_MG004_Stability_Gel_01.jpg,L08,L,L
160301_MG004_Stability_Gel_02.jpg,L01,L,L
160301_MG004_Stability_Gel_02.jpg,L02,J7,8w4c
160301_MG004_Stability_Gel_02.jpg,L03,A9,8w37c
160301_MG004_Stability_Gel_02.jpg,L04,B8,control
160301_MG004_Stability_Gel_02.jpg,L05,J1,control
160301_MG004_Stability_Gel_02.jpg,L06,G9,control
160301_MG004_Stability_Gel_02.jpg,L07,A3,2w4c
160301_MG004_Stability_Gel_02.jpg,L08,L,L
160302_MG004_Stability_Gel_03.jpg,L01,L,L
160302_MG004_Stability_Gel_03.jpg,L02,J10,8w4c
160302_MG004_Stability_Gel_03.jpg,L03,C2,control
160302_MG004_Stability_Gel_03.jpg,L04,J4,8w37c
160302_MG004_Stability_Gel_03.jpg,L05,H7,control
160302_MG004_Stability_Gel_03.jpg,L06,B8,control
160302_MG004_Stability_Gel_03.jpg,L07,B9,2w4c
160302_MG004_Stability_Gel_03.jpg,L08,L,L
160307_MG004_Stability_Gel_04.jpg,L01,L,L
160307_MG004_Stability_Gel_04.jpg,L02,F4,8w37c
160307_MG004_Stability_Gel_04.jpg,L03,J1,control
160307_MG004_Stability_Gel_04.jpg,L04,J10,8w4c
160307_MG004_Stability_Gel_04.jpg,L05,B9,2w4c
160307_MG004_Stability_Gel_04.jpg,L06,C1,2w37c
160307_MG004_Stability_Gel_04.jpg,L07,F8,2w37c
160307_MG004_Stability_Gel_04.jpg,L08,L,L
160308_MG004_Stability_Gel_05.jpg,L01,L,L
160308_MG004_Stability_Gel_05.jpg,L02,D1,2w37c
160308_MG004_Stability_Gel_05.jpg,L03,F8,2w37c
160308_MG004_Stability_Gel_05.jpg,L04,A4,control
160308_MG004_Stability_Gel_05.jpg,L05,C2,control
160308_MG004_Stability_Gel_05.jpg,L06,J7,8w4c
160308_MG004_Stability_Gel_05.jpg,L07,C3,2w4c
160308_MG004_Stability_Gel_05.jpg,L08,L,L
160309_MG004_Stability_Gel_06.jpg,L01,L,L
160309_MG004_Stability_Gel_06.jpg,L02,C1,2w37c
160309_MG004_Stability_Gel_06.jpg,L03,H7,control
160309_MG004_Stability_Gel_06.jpg,L04,D7,8w4c
160309_MG004_Stability_Gel_06.jpg,L05,J4,8w37c
160309_MG004_Stability_Gel_06.jpg,L06,C3,2w4c
160309_MG004_Stability_Gel_06.jpg,L07,D1,2w37c
160309_MG004_Stability_Gel_06.jpg,L08,L,L